experiment,geometry,target,feature,pearson_r,p_value,significant,direction,n
TOFU_grad_ascent,unlearned,Embedding,separability_std,-0.08017920493426868,0.42778400983531295,False,-,100
TOFU_grad_ascent,unlearned,Embedding,separability_max,-0.020859377395193477,0.8367958854175144,False,-,100
TOFU_grad_ascent,unlearned,Embedding,separability_min,0.01510962322621274,0.8813918118735881,False,+,100
TOFU_grad_ascent,unlearned,Embedding,centrality_mean,-0.011535441679345957,0.9093108017554875,False,-,100
TOFU_grad_ascent,unlearned,Embedding,centrality_std,0.12064098519622712,0.23184692304833937,False,+,100
TOFU_grad_ascent,unlearned,Embedding,centrality_max,0.09960866701980305,0.32412415887445717,False,+,100
TOFU_grad_ascent,unlearned,Embedding,centrality_min,-0.01952762685504432,0.8470846403507127,False,-,100
TOFU_grad_ascent,unlearned,Embedding,isolation_mean,,,False,-,100
TOFU_grad_ascent,unlearned,Embedding,isolation_std,,,False,-,100
TOFU_grad_ascent,unlearned,Embedding,isolation_max,,,False,-,100
TOFU_grad_ascent,unlearned,Embedding,isolation_min,,,False,-,100
TOFU_grad_ascent,unlearned,Embedding,cluster_compactness_mean,,,False,-,100
